id,portalId,pointOfSaleId,mainImage,createdAt,updatedAt,daysSinceCreated,reservedAt,daysSinceReserved,make,model,bodyType,colour,purchaseOption,salePriceGross,previousSalePriceGross,previousReLeasePriceGross,previousSalePriceNet,previousReLeasePriceNet,salePriceNet,leaseOnDemand,reLeasePriceGross,reLeasePriceNet,reLeasePrice2Gross,reLeasePrice2Net,reLeasePrice3Gross,reLeasePrice3Net,financeMonthlyPriceGross,financeMonthlyPriceNet,catalogPriceGross,catalogPriceNet,trim,location,locationDisplayName,firstRegistrationDate,registrationNumber,labels,partnerLogoUrl,details,labelCode,reservationLabelCode,co2,offerUrl,imagesFormat,salePromotedAt,releasePromotedAt,matrixReleasePrices,defaultReleaseKey,partnerName,additionalData
91357,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91357/0.jpeg,2025-01-08T12:57:10.642766Z,2025-01-08T12:57:10.6452405Z,8,2025-01-08T12:56:51.9944381,8,Citroen,C3 Aircross,SUV,,saleandrelease,14990.0,0.0,0.0,0.0,0.0,12491.0,False,310.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shine Pack 1.2 PureTech 110,Exclu web,,04/08/2021,GB851CX,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 26132.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Essence', 'gearbox': 'Manuelle', 'warrantyMonths': 12}",compatiblezfe,available,136.0,https://autoselect.arval.fr/voitures-occasion/offer/citroen-c3-aircross-shine-pack-12-puretech-110-91357,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 310.0, 'rentalStandardNet': 258.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91356,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91356/0.jpeg,2025-01-08T12:56:40.8917327Z,2025-01-08T12:56:40.8959509Z,8,2025-01-08T12:56:21.2623829,8,Volkswagen,Arteon,Berline,,saleandrelease,25990.0,0.0,0.0,0.0,0.0,21658.0,False,506.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elegance 2.0 TDI 150 BVA7,Exclu web,,29/10/2021,GC456SL,,,"{'mileage': 110014.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Automatique', 'warrantyMonths': 12}",,available,126.0,https://autoselect.arval.fr/voitures-occasion/offer/volkswagen-arteon-elegance-20-tdi-150-bva7-91356,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 506.0, 'rentalStandardNet': 421.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91343,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91343/0.jpeg,2025-01-08T12:55:11.2956469Z,2025-01-08T12:55:11.3648895Z,8,2025-01-08T12:39:09.273639,8,Volkswagen,Touran,Monospace,,saleandrelease,23990.0,0.0,0.0,0.0,0.0,19991.0,False,455.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United 1.5 TSI 150 7 Sieges,Exclu web,,26/11/2020,FV429JZ,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 70629.0, 'registrationYear': 2020, 'fuelTypeLabel': 'Essence', 'gearbox': 'Manuelle', 'warrantyMonths': 12}",compatiblezfe,available,150.0,https://autoselect.arval.fr/voitures-occasion/offer/volkswagen-touran-united-15-tsi-150-7-sieges-91343,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 455.0, 'rentalStandardNet': 379.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91160,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91160/0.jpeg,2025-01-06T15:25:52.3863309Z,2025-01-06T15:25:52.390226Z,10,2025-01-06T15:25:33.245022,10,BMW,Serie 3 Touring,Break,,saleandrelease,33990.0,0.0,0.0,0.0,0.0,28325.0,False,617.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Touring 318 d Lounge 2.0 150CV BVA8 E6d,Exclu web,,02/02/2022,GE519LR,,,"{'mileage': 53514.0, 'registrationYear': 2022, 'fuelTypeLabel': 'Hybride', 'gearbox': 'Automatique', 'warrantyMonths': 12}",,available,127.0,https://autoselect.arval.fr/voitures-occasion/offer/bmw-serie-3-touring-touring-318-d-lounge-20-150cv-bva8-e6d-91160,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 617.0, 'rentalStandardNet': 514.0, 'rentalMaintenanceGross': 617.0, 'rentalMaintenanceNet': 514.0}",rentalStandard_36_10000_0,,{}
91159,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91159/0.jpeg,2025-01-06T15:25:03.7120174Z,2025-01-06T15:25:03.7145297Z,10,2025-01-06T15:24:56.8855685,10,Audi,Q3,SUV,,saleandrelease,28990.0,0.0,0.0,0.0,0.0,24158.0,False,552.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35 TDI Design luxe 2.0 TDI 150CV BVA7 E6d,Exclu web,,24/08/2021,GB447JQ,,,"{'mileage': 100840.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Automatique', 'warrantyMonths': 12}",,available,142.0,https://autoselect.arval.fr/voitures-occasion/offer/audi-q3-35-tdi-design-luxe-20-tdi-150cv-bva7-e6d-91159,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 552.0, 'rentalStandardNet': 460.0, 'rentalMaintenanceGross': 552.0, 'rentalMaintenanceNet': 460.0}",rentalStandard_36_10000_0,,{}
91158,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91158/0.jpeg,2025-01-06T15:24:34.7465956Z,2025-01-06T15:24:34.7493073Z,10,2025-01-06T15:24:14.6785121,10,Ford,Kuga,SUV,,saleandrelease,19990.0,0.0,0.0,0.0,0.0,16658.0,False,397.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Titanium Plug-In Hybrid 2.5 225CV BVA6 E6dT,Exclu web,,18/12/2020,FV581ZF,"[{'key': 'zfe120', 'label': 'Compatible  ZFE', 'color': '#00A66E'}]",,"{'mileage': 68573.0, 'registrationYear': 2020, 'fuelTypeLabel': 'Plug-in hybrid', 'gearbox': 'Automatique', 'warrantyMonths': 12}",zfe120,available,32.0,https://autoselect.arval.fr/voitures-occasion/offer/ford-kuga-titanium-plug-in-hybrid-25-225cv-bva6-e6dt-91158,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 397.0, 'rentalStandardNet': 330.0, 'rentalMaintenanceGross': 397.0, 'rentalMaintenanceNet': 330.0}",rentalStandard_36_10000_0,,{}
91157,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91157/0.jpeg,2025-01-06T15:20:25.4279049Z,2025-01-06T15:20:25.5053335Z,10,2025-01-06T15:20:13.664896,10,Volkswagen,Passat,Berline,,saleandrelease,25990.0,0.0,0.0,0.0,0.0,21658.0,False,489.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0 TDI EVO 150 DSG7 LOUNGE,Exclu web,,10/07/2020,FR839HG,,,"{'mileage': 50508.0, 'registrationYear': 2020, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Automatique', 'warrantyMonths': 12}",,available,131.0,https://autoselect.arval.fr/voitures-occasion/offer/volkswagen-passat-20-tdi-evo-150-dsg7-lounge-91157,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 489.0, 'rentalStandardNet': 407.0, 'rentalMaintenanceGross': 489.0, 'rentalMaintenanceNet': 407.0}",rentalStandard_36_10000_0,,{}
91156,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91156/0.jpeg,2025-01-06T15:19:48.9286341Z,2025-01-06T15:19:48.9849659Z,10,2025-01-06T15:19:38.9863574,10,Volkswagen,T-Roc,SUV,,saleandrelease,20990.0,0.0,0.0,0.0,0.0,17491.0,False,425.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0 TDI 150 LOUNGE BUSINESS DSG7,Exclu web,,16/03/2021,FX691WX,,,"{'mileage': 119162.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Automatique', 'warrantyMonths': 12}",,available,129.0,https://autoselect.arval.fr/voitures-occasion/offer/volkswagen-t-roc-20-tdi-150-lounge-business-dsg7-91156,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 425.0, 'rentalStandardNet': 354.0, 'rentalMaintenanceGross': 425.0, 'rentalMaintenanceNet': 354.0}",rentalStandard_36_10000_0,,{}
91155,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91155/0.jpeg,2025-01-06T15:18:48.512889Z,2025-01-06T15:18:48.5180405Z,10,2025-01-06T15:18:41.2822669,10,Peugeot,3008,SUV,,saleandrelease,15990.0,0.0,0.0,0.0,0.0,13325.0,False,346.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Active Business 1.5 HDi 130CV BVA8 E6d,Exclu web,,15/10/2020,FT212KZ,,,"{'mileage': 104536.0, 'registrationYear': 2020, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Automatique', 'warrantyMonths': 12}",,available,135.0,https://autoselect.arval.fr/voitures-occasion/offer/peugeot-3008-active-business-15-hdi-130cv-bva8-e6d-91155,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 346.0, 'rentalStandardNet': 288.0, 'rentalMaintenanceGross': 346.0, 'rentalMaintenanceNet': 288.0}",rentalStandard_36_10000_0,,{}
91154,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91154/0.jpeg,2025-01-06T15:18:12.5079535Z,2025-01-06T15:18:12.6081135Z,10,2025-01-06T15:17:47.3790112,10,Volvo,XC40,SUV,,saleandrelease,32990.0,0.0,0.0,0.0,0.0,27491.0,False,617.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recharge T4 211 DCT7 Inscription Luxe,Exclu web,,16/03/2021,FX227WY,"[{'key': 'zfe120', 'label': 'Compatible  ZFE', 'color': '#00a66e'}]",,"{'mileage': 53649.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Hybride', 'gearbox': 'Automatique', 'warrantyMonths': 12}",zfe120,available,48.0,https://autoselect.arval.fr/voitures-occasion/offer/volvo-xc40-recharge-t4-211-dct7-inscription-luxe-91154,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 617.0, 'rentalStandardNet': 514.0, 'rentalMaintenanceGross': 617.0, 'rentalMaintenanceNet': 514.0}",rentalStandard_36_10000_0,,{}
